Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1880.04,-0.84,-0.30
1880.13,-0.42,-0.19
1880.21,-0.49,-0.12
1880.29,-0.68,-0.21
1880.38,-0.37,-0.13
1880.46,-0.50,-0.24
1880.54,-0.49,-0.22
1880.63,0.05,-0.10
1880.71,-0.51,-0.17
1880.79,-0.69,-0.25
1880.88,-0.53,-0.21
1880.96,-0.55,-0.24
1881.04,-0.80,-0.16
1881.13,-0.63,-0.18
1881.21,-0.37,0.03
1881.29,-0.28,0.03
1881.38,-0.04,0.01
1881.46,-1.13,-0.21
1881.54,-0.54,-0.07
1881.63,-0.26,-0.03
1881.71,-0.36,-0.14
1881.79,-0.50,-0.22
1881.88,-0.58,-0.23
1881.96,-0.16,-0.12
1882.04,0.11,0.13
1882.13,-0.12,0.14
1882.21,-0.09,0.03
1882.29,-0.60,-0.19
1882.38,-0.38,-0.17
1882.46,-1.03,-0.27
1882.54,-0.71,-0.21
1882.63,-0.12,-0.06
1882.71,-0.08,-0.11
1882.79,-0.32,-0.26
1882.88,-0.40,-0.17
1882.96,-0.68,-0.25
1883.04,-0.69,-0.32
1883.13,-0.95,-0.40
1883.21,-0.46,-0.13
1883.29,-0.32,-0.18
1883.38,-0.36,-0.21
1883.46,0.44,-0.13
1883.54,-0.02,-0.09
1883.63,-0.16,-0.16
1883.71,-0.46,-0.21
1883.79,-0.58,-0.15
1883.88,-0.70,-0.23
1883.96,-0.40,-0.17
1884.04,-0.61,-0.16
1884.13,-0.35,-0.09
1884.21,-0.41,-0.38
1884.29,-0.95,-0.43
1884.38,-1.20,-0.37
1884.46,-0.83,-0.41
1884.54,-0.85,-0.35
1884.63,0.14,-0.27
1884.71,-0.37,-0.28
1884.79,-0.78,-0.25
1884.88,-0.82,-0.31
1884.96,-1.00,-0.29
1885.04,-0.92,-0.59
1885.13,-0.78,-0.30
1885.21,-0.90,-0.25
1885.29,-0.86,-0.43
1885.38,-0.48,-0.43
1885.46,-0.93,-0.45
1885.54,-0.61,-0.35
1885.63,-0.15,-0.32
1885.71,-0.14,-0.24
1885.79,-0.03,-0.20
1885.88,-0.37,-0.20
1885.96,0.02,-0.05
1886.04,-0.76,-0.42
1886.13,-0.82,-0.46
1886.21,-0.68,-0.39
1886.29,-0.62,-0.28
1886.38,-0.57,-0.26
1886.46,-0.84,-0.39
1886.54,-0.39,-0.22
1886.63,-0.73,-0.34
1886.71,-0.42,-0.26
1886.79,-0.86,-0.29
1886.88,-0.49,-0.32
1886.96,-0.74,-0.27
1887.04,-0.90,-0.73
1887.13,-1.30,-0.53
1887.21,-0.62,-0.34
1887.29,-0.87,-0.39
1887.38,-0.89,-0.33
1887.46,-0.70,-0.24
1887.54,-0.44,-0.24
1887.63,-0.29,-0.32
1887.71,-0.65,-0.23
1887.79,-0.58,-0.33
1887.88,-0.95,-0.24
1887.96,-0.69,-0.34
1888.04,-0.77,-0.38
1888.13,-0.86,-0.37
1888.21,-0.95,-0.42
1888.29,-0.35,-0.23
1888.38,-0.80,-0.23
1888.46,-0.60,-0.19
1888.54,-0.40,-0.10
1888.63,-0.39,-0.17
1888.71,-0.45,-0.11
1888.79,-0.31,0.01
1888.88,-0.10,0.00
1888.96,-0.22,-0.07
1889.04,-0.34,-0.12
1889.13,0.12,0.18
1889.21,0.01,0.07
1889.29,0.07,0.06
1889.38,0.05,-0.03
1889.46,-0.35,-0.14
1889.54,-0.46,-0.11
1889.63,-0.65,-0.21
1889.71,-0.41,-0.22
1889.79,-0.26,-0.24
1889.88,-0.49,-0.34
1889.96,-0.49,-0.31
1890.04,-0.65,-0.45
1890.13,-0.67,-0.46
1890.21,-0.67,-0.41
1890.29,-0.57,-0.38
1890.38,-0.97,-0.47
